Transaction_Amount,Account_Balance,IP_Address_Flag,Previous_Fraudulent_Activity,Daily_Transaction_Count,Avg_Transaction_Amount_7d,Card_Age,Transaction_Distance,Is_Weekend,Hour,Day,High_Amount,High_Distance,High_Frequency,Behavior_Risk,Transaction_Type_Bank Transfer,Transaction_Type_Online,Transaction_Type_POS,Device_Type_Mobile,Device_Type_Tablet,Location_Mumbai,Location_New York,Location_Sydney,Location_Tokyo,Merchant_Category_Electronics,Merchant_Category_Groceries,Merchant_Category_Restaurants,Merchant_Category_Travel,Card_Type_Discover,Card_Type_Mastercard,Card_Type_Visa,Authentication_Method_OTP,Authentication_Method_PIN,Authentication_Method_Password,Actual_Fraud,Predicted_Fraud,Fraud_Probability
133.71,5464.13,False,False,11,478.77,91,736.94,True,13,2,False,False,True,1,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,True,False,0,1,0.43213767479732257
27.06,33723.46,False,False,11,423.62,158,3732.92,True,3,2,False,True,True,2,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0,1,0.36524063521244604
32.6,65511.01,False,False,1,63.82,143,4122.61,False,21,12,False,True,False,1,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,0,1,0.39833587808742194
364.34,87825.46,False,False,12,141.2,49,4268.7,True,10,9,False,True,True,2,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,0,0,0.32812658436997666
240.65,5283.1,False,False,8,148.63,202,3301.87,False,8,25,False,True,False,1,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,0,0,0.3097261744166569
112.14,42549.6,False,False,2,499.57,165,1354.79,False,1,13,False,True,False,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,0,0,0.34968433015340034
33.19,62119.82,False,False,13,54.06,237,3832.68,False,6,8,False,True,True,2,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,1,0,0.33445600041641405
31.27,99138.3,False,False,6,273.95,105,1523.74,True,5,27,False,True,False,1,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,0,1,0.36607603337449357
41.31,71477.36,False,False,13,431.5,130,2203.96,True,8,31,False,True,True,2,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,0,1,0.39451350451692135
227.25,32612.39,False,False,6,275.59,128,4973.33,False,6,27,False,True,False,1,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,True,False,0,1,0.4087551938575117
2.61,14696.07,False,False,10,67.52,187,3485.4,False,2,14,False,True,False,1,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,0,0,0.276521234721491
17.69,6434.94,False,False,9,248.3,39,890.45,True,12,23,False,False,False,0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,0,0,0.3216751588358088
71.19,96362.51,False,False,10,261.48,219,1015.87,False,16,1,False,True,False,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0,0,0.34369783106198637
294.12,85981.35,False,False,5,313.86,93,2788.08,True,19,16,False,True,False,1,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,1,1,0.3880615528415707
81.16,60312.62,False,False,9,196.79,98,608.52,False,20,31,False,False,False,0,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,0,1,0.3968745872812733
47.43,44691.83,False,False,12,286.39,134,559.27,True,9,6,False,False,True,1,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,0,1,0.41481989918336076
120.38,72491.54,False,False,5,132.01,55,3248.23,False,9,29,False,True,False,1,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,0,1,0.35751083869727646
197.19,98802.35,False,False,4,460.35,168,4962.42,True,3,3,False,True,False,1,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,0,1,0.3878108437873636
